Location,Period,Indicator,Tooltip,IndicatorCode,FactValueForMeasure,FactValueString,FactValueUoM,FactComments,LanguageName,'Facts'[LANGUAGE_CODE],LanguageOrder,SpaceTime,TimeDimValueCode,DataSourceDimValueCode,SpatialDimValueCode,Dim1ValueCode,Dim2ValueCode,Dim3ValueCode,SlicingDimCode,SlicingDimValueCode,IsLatestYear,LatestYearLabel,FactValueNumericPrefix
Romania,2002,Hospital beds (per 10 000 population),76.67,WHS6_102,76.67,,,"European Health for All database (WHO), 26 May 2020",English,en,1,ROU,2002,,ROU,,,,,,FALSE,2002,
Romania,2003,Hospital beds (per 10 000 population),67.46,WHS6_102,67.46,,,"European Health for All database (WHO), 26 May 2020",English,en,1,ROU,2003,,ROU,,,,,,FALSE,2003,
Romania,2004,Hospital beds (per 10 000 population),67.41,WHS6_102,67.41,,,"European Health for All database (WHO), 26 May 2020",English,en,1,ROU,2004,,ROU,,,,,,FALSE,2004,
Romania,2005,Hospital beds (per 10 000 population),67.76,WHS6_102,67.76,,,"European Health for All database (WHO), 26 May 2020",English,en,1,ROU,2005,,ROU,,,,,,FALSE,2005,
Romania,2006,Hospital beds (per 10 000 population),67.41,WHS6_102,67.41,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2006,,ROU,,,,,,FALSE,2006,
Romania,2007,Hospital beds (per 10 000 population),65.39,WHS6_102,65.39,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2007,,ROU,,,,,,FALSE,2007,
Romania,2008,Hospital beds (per 10 000 population),65.69,WHS6_102,65.69,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2008,,ROU,,,,,,FALSE,2008,
Romania,2009,Hospital beds (per 10 000 population),66.2,WHS6_102,66.2,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2009,,ROU,,,,,,FALSE,2009,
Romania,2010,Hospital beds (per 10 000 population),62.85,WHS6_102,62.85,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2010,,ROU,,,,,,FALSE,2010,
Romania,2011,Hospital beds (per 10 000 population),63.1,WHS6_102,63.1,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2011,,ROU,,,,,,FALSE,2011,
Romania,2012,Hospital beds (per 10 000 population),65.96,WHS6_102,65.96,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2012,,ROU,,,,,,FALSE,2012,
Romania,2013,Hospital beds (per 10 000 population),66.73,WHS6_102,66.73,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2013,,ROU,,,,,,FALSE,2013,
Romania,2014,Hospital beds (per 10 000 population),67.12,WHS6_102,67.12,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2014,,ROU,,,,,,FALSE,2014,
Romania,2015,Hospital beds (per 10 000 population),67.91,WHS6_102,67.91,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2015,,ROU,,,,,,FALSE,2015,
Romania,2016,Hospital beds (per 10 000 population),68.4,WHS6_102,68.4,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2016,,ROU,,,,,,FALSE,2016,
Romania,2017,Hospital beds (per 10 000 population),68.92,WHS6_102,68.92,,,Eurostat (Accessed on 26 May 2020),English,en,1,ROU,2017,,ROU,,,,,,TRUE,Latest,
The former Yugoslav Republic of Macedonia,2000,Hospital beds (per 10 000 population),50.57,WHS6_102,50.57,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2000,,MKD,,,,,,FALSE,2000,
The former Yugoslav Republic of Macedonia,2001,Hospital beds (per 10 000 population),49.36,WHS6_102,49.36,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2001,,MKD,,,,,,FALSE,2001,
The former Yugoslav Republic of Macedonia,2002,Hospital beds (per 10 000 population),48.36,WHS6_102,48.36,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2002,,MKD,,,,,,FALSE,2002,
The former Yugoslav Republic of Macedonia,2003,Hospital beds (per 10 000 population),48.07,WHS6_102,48.07,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2003,,MKD,,,,,,FALSE,2003,
The former Yugoslav Republic of Macedonia,2004,Hospital beds (per 10 000 population),47.72,WHS6_102,47.72,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2004,,MKD,,,,,,FALSE,2004,
The former Yugoslav Republic of Macedonia,2005,Hospital beds (per 10 000 population),46.98,WHS6_102,46.98,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MKD,2005,,MKD,,,,,,FALSE,2005,
The former Yugoslav Republic of Macedonia,2006,Hospital beds (per 10 000 population),46.27,WHS6_102,46.27,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2006,,MKD,,,,,,FALSE,2006,
The former Yugoslav Republic of Macedonia,2007,Hospital beds (per 10 000 population),45.64,WHS6_102,45.64,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2007,,MKD,,,,,,FALSE,2007,
The former Yugoslav Republic of Macedonia,2008,Hospital beds (per 10 000 population),45.46,WHS6_102,45.46,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2008,,MKD,,,,,,FALSE,2008,
The former Yugoslav Republic of Macedonia,2009,Hospital beds (per 10 000 population),44.78,WHS6_102,44.78,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2009,,MKD,,,,,,FALSE,2009,
The former Yugoslav Republic of Macedonia,2010,Hospital beds (per 10 000 population),45.91,WHS6_102,45.91,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2010,,MKD,,,,,,FALSE,2010,
The former Yugoslav Republic of Macedonia,2011,Hospital beds (per 10 000 population),45.08,WHS6_102,45.08,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2011,,MKD,,,,,,FALSE,2011,
The former Yugoslav Republic of Macedonia,2012,Hospital beds (per 10 000 population),44.04,WHS6_102,44.04,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2012,,MKD,,,,,,FALSE,2012,
The former Yugoslav Republic of Macedonia,2013,Hospital beds (per 10 000 population),44.46,WHS6_102,44.46,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2013,,MKD,,,,,,FALSE,2013,
The former Yugoslav Republic of Macedonia,2014,Hospital beds (per 10 000 population),43.96,WHS6_102,43.96,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2014,,MKD,,,,,,FALSE,2014,
The former Yugoslav Republic of Macedonia,2015,Hospital beds (per 10 000 population),43.88,WHS6_102,43.88,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2015,,MKD,,,,,,FALSE,2015,
The former Yugoslav Republic of Macedonia,2016,Hospital beds (per 10 000 population),43.71,WHS6_102,43.71,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2016,,MKD,,,,,,FALSE,2016,
The former Yugoslav Republic of Macedonia,2017,Hospital beds (per 10 000 population),42.8,WHS6_102,42.8,,,Eurostat (Accessed on 26 May 2020),English,en,1,MKD,2017,,MKD,,,,,,TRUE,Latest,
Republic of Moldova,2000,Hospital beds (per 10 000 population),70.84,WHS6_102,70.84,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2000,,MDA,,,,,,FALSE,2000,
Republic of Moldova,2001,Hospital beds (per 10 000 population),68.96,WHS6_102,68.96,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2001,,MDA,,,,,,FALSE,2001,
Republic of Moldova,2002,Hospital beds (per 10 000 population),67.47,WHS6_102,67.47,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2002,,MDA,,,,,,FALSE,2002,
Republic of Moldova,2003,Hospital beds (per 10 000 population),66.7,WHS6_102,66.7,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2003,,MDA,,,,,,FALSE,2003,
Republic of Moldova,2004,Hospital beds (per 10 000 population),64.13,WHS6_102,64.13,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2004,,MDA,,,,,,FALSE,2004,
Republic of Moldova,2005,Hospital beds (per 10 000 population),63.87,WHS6_102,63.87,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2005,,MDA,,,,,,FALSE,2005,
Republic of Moldova,2006,Hospital beds (per 10 000 population),62.68,WHS6_102,62.68,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2006,,MDA,,,,,,FALSE,2006,
Republic of Moldova,2007,Hospital beds (per 10 000 population),61.2,WHS6_102,61.2,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2007,,MDA,,,,,,FALSE,2007,
Republic of Moldova,2008,Hospital beds (per 10 000 population),61.06,WHS6_102,61.06,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2008,,MDA,,,,,,FALSE,2008,
Republic of Moldova,2009,Hospital beds (per 10 000 population),61.53,WHS6_102,61.53,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2009,,MDA,,,,,,FALSE,2009,
Republic of Moldova,2010,Hospital beds (per 10 000 population),61.82,WHS6_102,61.82,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2010,,MDA,,,,,,FALSE,2010,
Republic of Moldova,2011,Hospital beds (per 10 000 population),61.89,WHS6_102,61.89,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2011,,MDA,,,,,,FALSE,2011,
Republic of Moldova,2012,Hospital beds (per 10 000 population),62.26,WHS6_102,62.26,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2012,,MDA,,,,,,FALSE,2012,
Republic of Moldova,2013,Hospital beds (per 10 000 population),58.34,WHS6_102,58.34,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2013,,MDA,,,,,,FALSE,2013,
Republic of Moldova,2014,Hospital beds (per 10 000 population),56.61,WHS6_102,56.61,,,"European Health for All database (WHO), 26 May 2020",English,en,1,MDA,2014,,MDA,,,,,,TRUE,Latest,
Republic of Korea,2000,Hospital beds (per 10 000 population),46.5,WHS6_102,46.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2000,,KOR,,,,,,FALSE,2000,
Republic of Korea,2001,Hospital beds (per 10 000 population),44.5,WHS6_102,44.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2001,,KOR,,,,,,FALSE,2001,
Republic of Korea,2002,Hospital beds (per 10 000 population),48.3,WHS6_102,48.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2002,,KOR,,,,,,FALSE,2002,
Republic of Korea,2003,Hospital beds (per 10 000 population),50.9,WHS6_102,50.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2003,,KOR,,,,,,FALSE,2003,
Republic of Korea,2004,Hospital beds (per 10 000 population),54.2,WHS6_102,54.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2004,,KOR,,,,,,FALSE,2004,
Republic of Korea,2005,Hospital beds (per 10 000 population),59,WHS6_102,59,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2005,,KOR,,,,,,FALSE,2005,
Republic of Korea,2006,Hospital beds (per 10 000 population),64.8,WHS6_102,64.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2006,,KOR,,,,,,FALSE,2006,
Republic of Korea,2007,Hospital beds (per 10 000 population),72.4,WHS6_102,72.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2007,,KOR,,,,,,FALSE,2007,
Republic of Korea,2008,Hospital beds (per 10 000 population),77.3,WHS6_102,77.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2008,,KOR,,,,,,FALSE,2008,
Republic of Korea,2009,Hospital beds (per 10 000 population),81.9,WHS6_102,81.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2009,,KOR,,,,,,FALSE,2009,
Republic of Korea,2010,Hospital beds (per 10 000 population),87.4,WHS6_102,87.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2010,,KOR,,,,,,FALSE,2010,
Republic of Korea,2011,Hospital beds (per 10 000 population),95.3,WHS6_102,95.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2011,,KOR,,,,,,FALSE,2011,
Republic of Korea,2012,Hospital beds (per 10 000 population),102.5,WHS6_102,102.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2012,,KOR,,,,,,FALSE,2012,
Republic of Korea,2013,Hospital beds (per 10 000 population),109.2,WHS6_102,109.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2013,,KOR,,,,,,FALSE,2013,
Republic of Korea,2014,Hospital beds (per 10 000 population),115.9,WHS6_102,115.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2014,,KOR,,,,,,FALSE,2014,
Republic of Korea,2015,Hospital beds (per 10 000 population),116.1,WHS6_102,116.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2015,,KOR,,,,,,FALSE,2015,
Republic of Korea,2016,Hospital beds (per 10 000 population),119.8,WHS6_102,119.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2016,,KOR,,,,,,FALSE,2016,
Republic of Korea,2017,Hospital beds (per 10 000 population),122.7,WHS6_102,122.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2017,,KOR,,,,,,FALSE,2017,
Republic of Korea,2018,Hospital beds (per 10 000 population),124.3,WHS6_102,124.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,KOR,2018,,KOR,,,,,,TRUE,Latest,
Qatar,2000,Hospital beds (per 10 000 population),23.6,WHS6_102,23.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2000,,QAT,,,,,,FALSE,2000,
Qatar,2001,Hospital beds (per 10 000 population),24.2,WHS6_102,24.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2001,,QAT,,,,,,FALSE,2001,
Qatar,2002,Hospital beds (per 10 000 population),23.6,WHS6_102,23.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2002,,QAT,,,,,,FALSE,2002,
Qatar,2003,Hospital beds (per 10 000 population),23.6,WHS6_102,23.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2003,,QAT,,,,,,FALSE,2003,
Qatar,2004,Hospital beds (per 10 000 population),23.6,WHS6_102,23.6,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2004,,QAT,,,,,,FALSE,2004,
Qatar,2005,Hospital beds (per 10 000 population),24.3,WHS6_102,24.3,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2005,,QAT,,,,,,FALSE,2005,
Qatar,2006,Hospital beds (per 10 000 population),25.2,WHS6_102,25.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2006,,QAT,,,,,,FALSE,2006,
Qatar,2007,Hospital beds (per 10 000 population),25.2,WHS6_102,25.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2007,,QAT,,,,,,FALSE,2007,
Qatar,2008,Hospital beds (per 10 000 population),25.2,WHS6_102,25.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2008,,QAT,,,,,,FALSE,2008,
Qatar,2009,Hospital beds (per 10 000 population),14,WHS6_102,14,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2009,,QAT,,,,,,FALSE,2009,
Qatar,2010,Hospital beds (per 10 000 population),12.3,WHS6_102,12.3,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2010,,QAT,,,,,,FALSE,2010,
Qatar,2011,Hospital beds (per 10 000 population),12,WHS6_102,12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2011,,QAT,,,,,,FALSE,2011,
Qatar,2012,Hospital beds (per 10 000 population),12,WHS6_102,12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2012,,QAT,,,,,,FALSE,2012,
Qatar,2013,Hospital beds (per 10 000 population),14,WHS6_102,14,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2013,,QAT,,,,,,FALSE,2013,
Qatar,2014,Hospital beds (per 10 000 population),12,WHS6_102,12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2014,,QAT,,,,,,FALSE,2014,
Qatar,2015,Hospital beds (per 10 000 population),12,WHS6_102,12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2015,,QAT,,,,,,FALSE,2015,
Qatar,2016,Hospital beds (per 10 000 population),12,WHS6_102,12,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2016,,QAT,,,,,,FALSE,2016,
Qatar,2017,Hospital beds (per 10 000 population),12.5,WHS6_102,12.5,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,QAT,2017,,QAT,,,,,,TRUE,Latest,
Portugal,2000,Hospital beds (per 10 000 population),37.1,WHS6_102,37.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2000,,PRT,,,,,,FALSE,2000,
Portugal,2001,Hospital beds (per 10 000 population),36.5,WHS6_102,36.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2001,,PRT,,,,,,FALSE,2001,
Portugal,2002,Hospital beds (per 10 000 population),35.7,WHS6_102,35.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2002,,PRT,,,,,,FALSE,2002,
Portugal,2003,Hospital beds (per 10 000 population),35.8,WHS6_102,35.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2003,,PRT,,,,,,FALSE,2003,
Portugal,2004,Hospital beds (per 10 000 population),35.9,WHS6_102,35.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2004,,PRT,,,,,,FALSE,2004,
Portugal,2005,Hospital beds (per 10 000 population),35.6,WHS6_102,35.6,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2005,,PRT,,,,,,FALSE,2005,
Portugal,2006,Hospital beds (per 10 000 population),34.8,WHS6_102,34.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2006,,PRT,,,,,,FALSE,2006,
Portugal,2007,Hospital beds (per 10 000 population),34.4,WHS6_102,34.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2007,,PRT,,,,,,FALSE,2007,
Portugal,2008,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2008,,PRT,,,,,,FALSE,2008,
Portugal,2009,Hospital beds (per 10 000 population),33.7,WHS6_102,33.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2009,,PRT,,,,,,FALSE,2009,
Portugal,2010,Hospital beds (per 10 000 population),33.7,WHS6_102,33.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2010,,PRT,,,,,,FALSE,2010,
Portugal,2011,Hospital beds (per 10 000 population),33.7,WHS6_102,33.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2011,,PRT,,,,,,FALSE,2011,
Portugal,2012,Hospital beds (per 10 000 population),34.1,WHS6_102,34.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2012,,PRT,,,,,,FALSE,2012,
Portugal,2013,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2013,,PRT,,,,,,FALSE,2013,
Portugal,2014,Hospital beds (per 10 000 population),33.2,WHS6_102,33.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2014,,PRT,,,,,,FALSE,2014,
Portugal,2015,Hospital beds (per 10 000 population),33.7,WHS6_102,33.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2015,,PRT,,,,,,FALSE,2015,
Portugal,2016,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2016,,PRT,,,,,,FALSE,2016,
Portugal,2017,Hospital beds (per 10 000 population),33.9,WHS6_102,33.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2017,,PRT,,,,,,FALSE,2017,
Portugal,2018,Hospital beds (per 10 000 population),34.5,WHS6_102,34.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,PRT,2018,,PRT,,,,,,TRUE,Latest,
Poland,2003,Hospital beds (per 10 000 population),66.8,WHS6_102,66.8,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2003,,POL,,,,,,FALSE,2003,
Poland,2004,Hospital beds (per 10 000 population),66.7,WHS6_102,66.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2004,,POL,,,,,,FALSE,2004,
Poland,2005,Hospital beds (per 10 000 population),65.2,WHS6_102,65.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2005,,POL,,,,,,FALSE,2005,
Poland,2006,Hospital beds (per 10 000 population),64.7,WHS6_102,64.7,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2006,,POL,,,,,,FALSE,2006,
Poland,2007,Hospital beds (per 10 000 population),64.2,WHS6_102,64.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2007,,POL,,,,,,FALSE,2007,
Poland,2008,Hospital beds (per 10 000 population),66.2,WHS6_102,66.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2008,,POL,,,,,,FALSE,2008,
Poland,2009,Hospital beds (per 10 000 population),66.5,WHS6_102,66.5,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2009,,POL,,,,,,FALSE,2009,
Poland,2010,Hospital beds (per 10 000 population),66.1,WHS6_102,66.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2010,,POL,,,,,,FALSE,2010,
Poland,2011,Hospital beds (per 10 000 population),66.3,WHS6_102,66.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2011,,POL,,,,,,FALSE,2011,
Poland,2012,Hospital beds (per 10 000 population),66.3,WHS6_102,66.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2012,,POL,,,,,,FALSE,2012,
Poland,2013,Hospital beds (per 10 000 population),66.1,WHS6_102,66.1,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2013,,POL,,,,,,FALSE,2013,
Poland,2014,Hospital beds (per 10 000 population),66.3,WHS6_102,66.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2014,,POL,,,,,,FALSE,2014,
Poland,2015,Hospital beds (per 10 000 population),66.3,WHS6_102,66.3,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2015,,POL,,,,,,FALSE,2015,
Poland,2016,Hospital beds (per 10 000 population),66.4,WHS6_102,66.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2016,,POL,,,,,,FALSE,2016,
Poland,2017,Hospital beds (per 10 000 population),66.2,WHS6_102,66.2,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2017,,POL,,,,,,FALSE,2017,
Poland,2018,Hospital beds (per 10 000 population),65.4,WHS6_102,65.4,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,POL,2018,,POL,,,,,,TRUE,Latest,
Philippines,2006,Hospital beds (per 10 000 population),10.7,WHS6_102,10.7,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2006,,PHL,,,,,,FALSE,2006,
Philippines,2007,Hospital beds (per 10 000 population),10.5,WHS6_102,10.5,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2007,,PHL,,,,,,FALSE,2007,
Philippines,2008,Hospital beds (per 10 000 population),10.4,WHS6_102,10.4,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2008,,PHL,,,,,,FALSE,2008,
Philippines,2009,Hospital beds (per 10 000 population),10.6,WHS6_102,10.6,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2009,,PHL,,,,,,FALSE,2009,
Philippines,2010,Hospital beds (per 10 000 population),10.6,WHS6_102,10.6,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2010,,PHL,,,,,,FALSE,2010,
Philippines,2011,Hospital beds (per 10 000 population),10.7,WHS6_102,10.7,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2011,,PHL,,,,,,FALSE,2011,
Philippines,2012,Hospital beds (per 10 000 population),10.5,WHS6_102,10.5,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2012,,PHL,,,,,,FALSE,2012,
Philippines,2013,Hospital beds (per 10 000 population),9.9,WHS6_102,9.9,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2013,,PHL,,,,,,FALSE,2013,
Philippines,2014,Hospital beds (per 10 000 population),9.9,WHS6_102,9.9,,,Philippine Statistical Yearbook 2017,English,en,1,PHL,2014,,PHL,,,,,,TRUE,Latest,
Peru,2011,Hospital beds (per 10 000 population),15.28,WHS6_102,15.28,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2011,,PER,,,,,,FALSE,2011,
Peru,2012,Hospital beds (per 10 000 population),15.23,WHS6_102,15.23,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2012,,PER,,,,,,FALSE,2012,
Peru,2013,Hospital beds (per 10 000 population),15.11,WHS6_102,15.11,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2013,,PER,,,,,,FALSE,2013,
Peru,2014,Hospital beds (per 10 000 population),15.59,WHS6_102,15.59,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2014,,PER,,,,,,FALSE,2014,
Peru,2015,Hospital beds (per 10 000 population),15.49,WHS6_102,15.49,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2015,,PER,,,,,,FALSE,2015,
Peru,2016,Hospital beds (per 10 000 population),15.92,WHS6_102,15.92,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2016,,PER,,,,,,FALSE,2016,
Peru,2017,Hospital beds (per 10 000 population),15.91,WHS6_102,15.91,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PER,2017,,PER,,,,,,TRUE,Latest,
Paraguay,2011,Hospital beds (per 10 000 population),13.64,WHS6_102,13.64,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,PRY,2011,,PRY,,,,,,FALSE,2011,
